,id,start_date,end_date,created_on,latitud,longitud,place_l2,place_l3,place_l4,place_l5,place_l6,operation,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price,property_currency,property_title
251240,u8BqWyJ/RVZpBwPYOfFMSg==,2021-08-23,2021-10-09,2021-08-23,-34.6203933,-58.4399705,Capital Federal,Caballito,,,,Venta,Departamento,2.0,1.0,54.0,44.0,109500.0,USD,Departamento - Caballito
44199,Y4DCwHUdQ/tHc0Q00VFc6A==,2021-11-23,2022-01-27,2021-11-23,-34.6411541,-58.4955466,Capital Federal,Villa Luro,,,,Venta,Departamento,2.0,1.0,28.0,28.0,60000.0,USD,Departamento - Villa Luro
244478,XN513djrOYX+RSh9POG8Qw==,2021-10-22,2022-01-27,2021-10-22,-34.6195154,-58.4630664,Capital Federal,Flores,,,,Venta,Departamento,2.0,1.0,57.0,51.0,99000.0,USD,Hermoso y amplio semipiso de 2 ambientes
322716,0tS04qcJxtCKsC2xyiJrxw==,2021-06-15,2021-06-16,2021-06-15,-34.5462764,-58.4710278,Capital Federal,Nuñez,,,,Venta,Departamento,3.0,2.0,90.0,70.0,278000.0,USD,Departamento 3 ambientes en Nuñez con COCHERA
306112,4FLijTjaZUK3d1huVsnwCg==,2021-03-04,2021-06-05,2021-03-04,-34.5798334,-58.4138809,Capital Federal,Palermo,Palermo Chico,,,Venta,Departamento,2.0,1.0,44.0,40.0,168000.0,USD,Muy lindo 2 ambientes con Cochera Fija y Amenities en Palermo Chico
398051,Gy4tGPikwwIOSbDJO7SIig==,2021-02-13,2021-02-23,2021-02-13,-34.556695,-58.445463,Capital Federal,Belgrano,,,,Venta,Departamento,3.0,2.0,50.0,36.0,115000.0,USD,Departamento 3 Ambientes con patio en BELGRANO
288940,HWMHw0aZyuet7GgDKeqZfQ==,2021-02-25,2021-06-05,2021-02-25,-34.5874732,-58.4242676,Capital Federal,Palermo,,,,Venta,Departamento,1.0,,31.0,,70000.0,USD,Departamento - Palermo
251725,Q/HLKRDqO7fmg2VnVbhDSg==,2021-06-18,2021-07-13,2021-06-18,-34.6053206,-58.4721659,Capital Federal,Paternal,,,,Venta,PH,4.0,3.0,74.0,74.0,135000.0,USD,PH de 3 dormitorios en perfecto estado digno de ver 
197215,AHcQKrCtcSiHGzO0yXuzeQ==,2021-04-17,2021-06-05,2021-04-17,-34.6287231,-58.4132576,Capital Federal,Boedo,,,,Venta,Departamento,3.0,2.0,100.0,80.0,190000.0,USD,venta departametno 3 amb - 3 ambientes en boedo - balcon aterrazado en boedo - 3 ambientes terraza
214621,Cg/47a5cnIgvAy1aE9CPPg==,2021-12-27,2022-01-27,2021-12-27,-34.5801082,-58.4809119,Capital Federal,Villa Urquiza,,,,Venta,Departamento,4.0,3.0,141.0,123.0,380000.0,USD,"Piso de 4 amb. a Estrenar!!!! Suite, balcones aterrazados - Anticipo y cuotas!!!"
